8_cell_neg_1	0.2	0.001	0.25	0.25	0	0	1	0	0	1	neg	I  reluctantly  bought  this  phone 
8_cell_neg_2	0.001	0.6	0.001	0.125	0	0	0	0	0	1	pos	because  my  Kyocera  Slider  suddenly  died  on  me  conveniently 
8_cell_neg_3	0.001	0.001	0.001	0.001	0	0	0	0	0	0	pos	3  months  after  VM  's  warranty  was  up 
8_cell_neg_4	0.001	0.001	0.001	0.001	0	0	0	0	0	0	pos	and  i  had  just  purchased  a  $  20  phone 
8_cell_neg_5	0.001	0.001	0.001	0.001	0	0	0	0	0	0	pos	card  +  had  airtime  credits 
8_cell_neg_6	0.5	0.001	0.625	0.001	1	0	0	0	0	0	pos	which  were  not  refundable  . 
8_cell_neg_7	0.5	0.001	0.625	0.001	1	0	0	0	0	0	neg	Now  i  am  not  a  teen 
8_cell_neg_8	0.45	0.001	0.625	0.5	1	0	0	0	1	0	pos	and  my  phone  and  things  do  not  receive  harsh  treatment  . 
8_cell_neg_9	0.001	0.4	0.001	0.25	0	0	0	0	1	1	pos	My  kyocera  slider  actually  looked  like  new 
8_cell_neg_10	0.36700000000000005	0.2005	0.1875	0.1875	0	0	2	0	0	2	pos	when  it  died  with  no  scratches  what-so-ever  so  i  was  pretty  upset  . 
8_cell_neg_11	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	After  multiple  calls  and  2  emails  to  VM 
8_cell_neg_12	0.12575	0.3333333333333333	0.25	0.3125	0	0	2	0	1	1	neg	it  was  pretty  clear  they  were  n't  going  to  do  anything  to  help  . 
8_cell_neg_13	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	I  was  offered  a  replacement  slider  at  $  20  . 
8_cell_neg_14	0.5	0.001	0.25	0.5	0	0	2	0	1	0	neg	Obviously  I  did  n't  want  the  same  one 
8_cell_neg_15	0.2	0.001	0.001	0.001	0	0	0	0	0	0	neg	that  could  possibly  die  on  me 
8_cell_neg_16	0.001	0.001	0.125	0.125	0	0	1	0	0	1	neg	after  a  couple  of  months  so  like  i  was  saying 
8_cell_neg_17	0.5	0.001	0.25	0.001	0	0	1	0	0	0	neg	I  had  no  other  recourse 
8_cell_neg_18	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	but  to  purchase  this  Audiovox  8610  . 
8_cell_neg_19	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	By  the  way  AFTER 
8_cell_neg_20	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	I  PURCHASED  THE  PHONE  AT  A  LOCAL  STORE  IN  TOWN 
8_cell_neg_21	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	-LRB- 
8_cell_neg_22	0.001	0.001	0.001	0.25	0	0	0	0	0	1	neg	when  i  called  to  activate  the  phone  -RRB- 
8_cell_neg_23	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	they  have  the  nerve 
8_cell_neg_24	0.001	0.2	0.001	0.001	0	0	0	0	0	0	neg	to  tell  me  that  I  could  `  ve  purchased  the  same  8610  from  them  at  a  discount  price  of  $  24.99 
8_cell_neg_25	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	because  the  slider  died  . 
