8_cell_neg_1	0.2	0.001	0.25	0.25	neg	I  reluctantly  bought  this  phone 	0.6232641309134619	0.37673586908653806
8_cell_neg_2	0.001	0.6	0.001	0.125	pos	because  my  Kyocera  Slider  suddenly  died  on  me  conveniently 	0.23459313118138225	0.7654068688186177
8_cell_neg_3	0.001	0.001	0.001	0.001	pos	3  months  after  VM  's  warranty  was  up 	0.508080974588505	0.491919025411495
8_cell_neg_4	0.001	0.001	0.001	0.001	pos	and  i  had  just  purchased  a  $  20  phone 	0.508080974588505	0.491919025411495
8_cell_neg_5	0.001	0.001	0.001	0.001	pos	card  +  had  airtime  credits 	0.508080974588505	0.491919025411495
8_cell_neg_6	0.5	0.001	0.625	0.001	pos	which  were  not  refundable  . 	0.7675693030353561	0.23243069696464394
8_cell_neg_7	0.5	0.001	0.625	0.001	neg	Now  i  am  not  a  teen 	0.7675693030353561	0.23243069696464394
8_cell_neg_8	0.45	0.001	0.625	0.5	pos	and  my  phone  and  things  do  not  receive  harsh  treatment  . 	0.7538455304127345	0.24615446958726545
8_cell_neg_9	0.001	0.4	0.001	0.25	pos	My  kyocera  slider  actually  looked  like  new 	0.31606841262013785	0.6839315873798621
8_cell_neg_10	0.3670000000000001	0.2005	0.1875	0.1875	pos	when  it  died  with  no  scratches  what-so-ever  so  i  was  pretty  upset  . 	0.5918970706244799	0.4081029293755201
8_cell_neg_11	0.001	0.001	0.001	0.001	neg	After  multiple  calls  and  2  emails  to  VM 	0.508080974588505	0.491919025411495
8_cell_neg_12	0.12575	0.3333333333333333	0.25	0.3125	neg	it  was  pretty  clear  they  were  n't  going  to  do  anything  to  help  . 	0.4243041419353554	0.5756958580646446
8_cell_neg_13	0.001	0.001	0.001	0.001	neg	I  was  offered  a  replacement  slider  at  $  20  . 	0.508080974588505	0.491919025411495
8_cell_neg_14	0.5	0.001	0.25	0.5	neg	Obviously  I  did  n't  want  the  same  one 	0.7414892652836299	0.2585107347163701
8_cell_neg_15	0.2	0.001	0.001	0.001	neg	that  could  possibly  die  on  me 	0.5968495843998474	0.4031504156001527
8_cell_neg_16	0.001	0.001	0.125	0.125	neg	after  a  couple  of  months  so  like  i  was  saying 	0.5218957409289666	0.47810425907103343
8_cell_neg_17	0.5	0.001	0.25	0.001	neg	I  had  no  other  recourse 	0.7385937730859151	0.2614062269140848
8_cell_neg_18	0.001	0.001	0.001	0.001	neg	but  to  purchase  this  Audiovox  8610  . 	0.508080974588505	0.491919025411495
8_cell_neg_19	0.001	0.001	0.001	0.001	neg	By  the  way  AFTER 	0.508080974588505	0.491919025411495
8_cell_neg_20	0.001	0.001	0.001	0.001	neg	I  PURCHASED  THE  PHONE  AT  A  LOCAL  STORE  IN  TOWN 	0.508080974588505	0.491919025411495
8_cell_neg_21	0.001	0.001	0.001	0.001	neg	-LRB- 	0.508080974588505	0.491919025411495
8_cell_neg_22	0.001	0.001	0.001	0.25	neg	when  i  called  to  activate  the  phone  -RRB- 	0.5099579679856576	0.4900420320143424
8_cell_neg_23	0.001	0.001	0.001	0.001	neg	they  have  the  nerve 	0.508080974588505	0.491919025411495
8_cell_neg_24	0.001	0.2	0.001	0.001	neg	to  tell  me  that  I  could  `  ve  purchased  the  same  8610  from  them  at  a  discount  price  of  $  24.99 	0.40793121553795997	0.59206878446204
8_cell_neg_25	0.001	0.001	0.001	0.001	neg	because  the  slider  died  . 	0.508080974588505	0.491919025411495
8_cell_neg_26	0.001	0.001	0.125	0.001	neg	The  f  !  @  %  ng  idiots  ! 	0.520962425694063	0.47903757430593696
8_cell_neg_27	0.5	0.001	0.625	0.001	neg	HELLO  COULD  YA  NOT  HAVE  TOLD  ME  SOONER  ?  ?  ? 	0.7675693030353561	0.23243069696464394
8_cell_neg_28	0.001	0.001	0.001	0.125	neg	and  after  i  spent 	0.5090157340060902	0.49098426599390976
8_cell_neg_29	0.001	0.001	0.001	0.001	neg	$  50  +  tax  . 	0.508080974588505	0.491919025411495
8_cell_neg_30	0.001	0.001	0.001	0.001	neg	sheesh  ! 	0.508080974588505	0.491919025411495
8_cell_neg_31	0.001	0.001	0.001	0.125	neg	Anyway  back  to  the  phone  review  .  . 	0.5090157340060902	0.49098426599390976
8_cell_neg_32	0.001	0.001	0.25	0.001	neg	the  ringer  is  indeed  low 	0.5339195604264527	0.4660804395735473
8_cell_neg_33	0.001	0.001	0.001	0.001	neg	as  others  have  reported  here  . 	0.508080974588505	0.491919025411495
8_cell_neg_34	0.5	0.001	0.2083333333333333	0.001	neg	Its  so  low  that  if  its  in  my  purse  i  ca  n't  even  hear  it  ! 	0.7352341348491244	0.26476586515087563
8_cell_neg_35	0.001	0.001	0.001	0.001	neg	WTF  ?  ?  ? 	0.508080974588505	0.491919025411495
8_cell_neg_36	0.5	0.001	0.25	0.001	neg	Also  the  battery  life  sucks  ,  no  sooner  does  the  thing  ring  and  the  batteries  at  half  . 	0.7385937730859151	0.2614062269140848
8_cell_neg_37	0.001	0.6	0.001	0.75	neg	It  also  doesnt  get  good  service  with  the  VM\/Sprint  network  , 	0.23799500614124913	0.7620049938587509
8_cell_neg_38	0.001	0.001	0.001	0.001	neg	my  slider  had  xcellent  service  w\/it 	0.508080974588505	0.491919025411495
8_cell_neg_39	0.001	0.001	0.625	0.001	neg	despite  everything 	0.572449270813288	0.427550729186712
8_cell_neg_40	0.2	0.001	0.125	0.001	neg	and  rarely  if  ever  dropped  calls  . 	0.6091944921442571	0.3908055078557429
8_cell_neg_41	0.001	0.001	0.001	0.125	neg	So  I  `  ve  had  it  5  days  and  I  'm  considering 	0.5090157340060902	0.49098426599390976
8_cell_neg_42	0.001	0.001	0.001	0.001	neg	attempting  to  bring  it  back 	0.508080974588505	0.491919025411495
8_cell_neg_43	0.001	0.001	0.001	0.001	neg	where  I  purchased  it  from  . 	0.508080974588505	0.491919025411495
8_cell_neg_44	0.35	0.001	0.375	0.125	neg	However  i  do  n't  want  to  buy  an  expensive  phone  from  VM 	0.6948775029689236	0.3051224970310764
